name,instance_id,region_id,access_key_id,access_key_secret,tag,notes,traffic_strategy,life_total_limit,auto_start_enabled,alert_threshold_pct
demo-guangzhou-01,i-demo000000000001,cn-guangzhou,LTAIEXAMPLE000000000001,exampleSecretValue00000000000001,account-demo-01,,life,500,true,80
demo-guangzhou-02,i-demo000000000002,cn-guangzhou,LTAIEXAMPLE000000000002,exampleSecretValue00000000000002,account-demo-02,,life,500,true,80
demo-guangzhou-03,i-demo000000000003,cn-guangzhou,LTAIEXAMPLE000000000003,exampleSecretValue00000000000003,account-demo-03,,life,500,true,80
demo-guangzhou-04,i-demo000000000004,cn-guangzhou,LTAIEXAMPLE000000000004,exampleSecretValue00000000000004,account-demo-04,,life,500,true,80
demo-guangzhou-05,i-demo000000000005,cn-guangzhou,LTAIEXAMPLE000000000005,exampleSecretValue00000000000005,account-demo-05,,life,500,true,80
demo-shenzhen-01,i-demo000000000006,cn-shenzhen,LTAIEXAMPLE000000000006,exampleSecretValue00000000000006,account-demo-06,,life,500,true,80
demo-guangzhou-06,i-demo000000000007,cn-guangzhou,LTAIEXAMPLE000000000007,exampleSecretValue00000000000007,account-demo-07,,life,500,true,80
demo-guangzhou-07,i-demo000000000008,cn-guangzhou,LTAIEXAMPLE000000000008,exampleSecretValue00000000000008,account-demo-08,,life,500,true,80
demo-guangzhou-08,i-demo000000000009,cn-guangzhou,LTAIEXAMPLE000000000009,exampleSecretValue00000000000009,account-demo-09,,life,500,true,80
demo-shanghai-01,i-demo000000000010,cn-shanghai,LTAIEXAMPLE000000000010,exampleSecretValue00000000000010,account-demo-10,,life,500,true,80
demo-shenzhen-02,i-demo000000000011,cn-shenzhen,LTAIEXAMPLE000000000011,exampleSecretValue00000000000011,account-demo-11,,life,500,true,80
demo-beijing-01,i-demo000000000012,cn-beijing,LTAIEXAMPLE000000000012,exampleSecretValue00000000000012,account-demo-12,,life,500,true,80
demo-guangzhou-09,i-demo000000000013,cn-guangzhou,LTAIEXAMPLE000000000013,exampleSecretValue00000000000013,account-demo-13,,life,500,true,80
demo-shanghai-02,i-demo000000000014,cn-shanghai,LTAIEXAMPLE000000000014,exampleSecretValue00000000000014,account-demo-14,,life,500,true,80
demo-shanghai-03,i-demo000000000015,cn-shanghai,LTAIEXAMPLE000000000015,exampleSecretValue00000000000015,account-demo-15,,life,500,true,80
demo-hangzhou-01,i-demo000000000016,cn-hangzhou,LTAIEXAMPLE000000000016,exampleSecretValue00000000000016,account-demo-16,,life,500,true,80
demo-guangzhou-10,i-demo000000000017,cn-guangzhou,LTAIEXAMPLE000000000017,exampleSecretValue00000000000017,account-demo-17,,life,500,true,80
demo-beijing-02,i-demo000000000018,cn-beijing,LTAIEXAMPLE000000000018,exampleSecretValue00000000000018,account-demo-18,,life,500,true,80
demo-guangzhou-11,i-demo000000000019,cn-guangzhou,LTAIEXAMPLE000000000019,exampleSecretValue00000000000019,account-demo-19,,life,500,true,80
demo-guangzhou-12,i-demo000000000020,cn-guangzhou,LTAIEXAMPLE000000000020,exampleSecretValue00000000000020,account-demo-20,,life,500,true,80
